revised_movement_label,segBoundary,segBoundary_start,segBoundary_end,length
trotting,39,0,39,39
sniffing,59,39,59,20
trotting,118,59,118,59
running,158,118,158,40
climbing,188,158,188,30
sniffing,229,188,229,41
trotting,249,229,249,20
right_turning,285,249,285,36
sniffing,316,285,316,31
rising,353,316,353,37
rearing,364,353,364,11
walking,387,364,387,23
rising,464,387,464,77
sniffing,604,464,604,140
running,611,604,611,7
walking,663,611,663,52
sniffing,751,663,751,88
right_turning,772,751,772,21
rising,773,772,773,1
right_turning,787,773,787,14
trotting,811,787,811,24
rising,812,811,812,1
sniffing,1058,812,1058,246
left_turning,1104,1058,1104,46
sniffing,1105,1104,1105,1
rising,1136,1105,1136,31
sniffing,1262,1136,1262,126
left_turning,1280,1262,1280,18
sniffing,1309,1280,1309,29
climbing,1357,1309,1357,48
walking,1360,1357,1360,3
trotting,1410,1360,1410,50
walking,1428,1410,1428,18
trotting,1454,1428,1454,26
left_turning,1490,1454,1490,36
sniffing,1545,1490,1545,55
walking,1594,1545,1594,49
sniffing,1668,1594,1668,74
climbing,1677,1668,1677,9
sniffing,1812,1677,1812,135
walking,1850,1812,1850,38
left_turning,1851,1850,1851,1
walking,1852,1851,1852,1
trotting,1896,1852,1896,44
sniffing,1963,1896,1963,67
walking,2005,1963,2005,42
left_turning,2006,2005,2006,1
rising,2007,2006,2007,1
climbing,2048,2007,2048,41
walking,2089,2048,2089,41
sniffing,2120,2089,2120,31
right_turning,2164,2120,2164,44
walking,2165,2164,2165,1
sniffing,2238,2165,2238,73
climbing,2285,2238,2285,47
left_turning,2300,2285,2300,15
sniffing,2301,2300,2301,1
climbing,2304,2301,2304,3
walking,2394,2304,2394,90
rising,2439,2394,2439,45
walking,2441,2439,2441,2
sniffing,2540,2441,2540,99
rising,2585,2540,2585,45
left_turning,2611,2585,2611,26
sniffing,2683,2611,2683,72
rearing,2690,2683,2690,7
sniffing,2754,2690,2754,64
climbing,2808,2754,2808,54
sniffing,2826,2808,2826,18
climbing,2880,2826,2880,54
rising,2884,2880,2884,4
walking,2959,2884,2959,75
sniffing,3076,2959,3076,117
running,3144,3076,3144,68
sniffing,3262,3144,3262,118
rising,3263,3262,3263,1
climbing,3376,3263,3376,113
left_turning,3387,3376,3387,11
sniffing,3401,3387,3401,14
trotting,3438,3401,3438,37
sniffing,3439,3438,3439,1
rising,3457,3439,3457,18
climbing,3492,3457,3492,35
trotting,3493,3492,3493,1
sniffing,3593,3493,3593,100
left_turning,3634,3593,3634,41
walking,3815,3634,3815,181
stepping,3832,3815,3832,17
sniffing,3833,3832,3833,1
climbing,3882,3833,3882,49
rising,3883,3882,3883,1
sniffing,3965,3883,3965,82
rising,3993,3965,3993,28
stepping,3994,3993,3994,1
sniffing,3995,3994,3995,1
walking,4077,3995,4077,82
trotting,4100,4077,4100,23
left_turning,4101,4100,4101,1
sniffing,4151,4101,4151,50
left_turning,4192,4151,4192,41
stepping,4211,4192,4211,19
rising,4254,4211,4254,43
walking,4255,4254,4255,1
climbing,4330,4255,4330,75
rising,4390,4330,4390,60
climbing,4441,4390,4441,51
sniffing,4513,4441,4513,72
rising,4554,4513,4554,41
climbing,4616,4554,4616,62
right_turning,4629,4616,4629,13
trotting,4642,4629,4642,13
running,4674,4642,4674,32
walking,4697,4674,4697,23
sniffing,4740,4697,4740,43
climbing,4782,4740,4782,42
left_turning,4799,4782,4799,17
walking,4805,4799,4805,6
climbing,4819,4805,4819,14
right_turning,4834,4819,4834,15
sniffing,4915,4834,4915,81
rising,4916,4915,4916,1
sniffing,4931,4916,4931,15
walking,5004,4931,5004,73
running,5020,5004,5020,16
walking,5095,5020,5095,75
running,5146,5095,5146,51
walking,5188,5146,5188,42
sniffing,5220,5188,5220,32
rising,5222,5220,5222,2
sniffing,5225,5222,5225,3
rising,5249,5225,5249,24
walking,5286,5249,5286,37
climbing,5307,5286,5307,21
walking,5420,5307,5420,113
left_turning,5456,5420,5456,36
trotting,5485,5456,5485,29
sniffing,5554,5485,5554,69
climbing,5623,5554,5623,69
sniffing,5677,5623,5677,54
walking,5721,5677,5721,44
sniffing,5752,5721,5752,31
rising,5796,5752,5796,44
left_turning,5797,5796,5797,1
climbing,5823,5797,5823,26
trotting,5859,5823,5859,36
walking,5930,5859,5930,71
stepping,5968,5930,5968,38
rising,6019,5968,6019,51
sniffing,6110,6019,6110,91
trotting,6125,6110,6125,15
sniffing,6202,6125,6202,77
rearing,6212,6202,6212,10
rising,6270,6212,6270,58
climbing,6281,6270,6281,11
right_turning,6337,6281,6337,56
hunching,6371,6337,6371,34
climbing,6437,6371,6437,66
walking,6533,6437,6533,96
left_turning,6544,6533,6544,11
rising,6622,6544,6622,78
right_turning,6651,6622,6651,29
rising,6713,6651,6713,62
climbing,6714,6713,6714,1
sniffing,6771,6714,6771,57
rearing,6787,6771,6787,16
sniffing,6812,6787,6812,25
climbing,6865,6812,6865,53
rising,6897,6865,6897,32
walking,6975,6897,6975,78
hunching,7011,6975,7011,36
climbing,7104,7011,7104,93
stepping,7125,7104,7125,21
trotting,7169,7125,7169,44
sniffing,7170,7169,7170,1
right_turning,7171,7170,7171,1
walking,7172,7171,7172,1
sniffing,7173,7172,7173,1
left_turning,7200,7173,7200,27
walking,7262,7200,7262,62
sniffing,7293,7262,7293,31
climbing,7330,7293,7330,37
rising,7331,7330,7331,1
sniffing,7395,7331,7395,64
climbing,7402,7395,7402,7
rising,7452,7402,7452,50
sniffing,7497,7452,7497,45
rearing,7508,7497,7508,11
sniffing,7577,7508,7577,69
climbing,7658,7577,7658,81
sniffing,7750,7658,7750,92
left_turning,7851,7750,7851,101
sniffing,7871,7851,7871,20
trotting,7881,7871,7881,10
running,7913,7881,7913,32
rising,7952,7913,7952,39
stepping,7979,7952,7979,27
hunching,7999,7979,7999,20
stepping,8061,7999,8061,62
left_turning,8083,8061,8083,22
climbing,8145,8083,8145,62
rising,8154,8145,8154,9
sniffing,8219,8154,8219,65
rising,8254,8219,8254,35
walking,8290,8254,8290,36
sniffing,8312,8290,8312,22
walking,8368,8312,8368,56
sniffing,8434,8368,8434,66
walking,8461,8434,8461,27
sniffing,8462,8461,8462,1
rising,8480,8462,8480,18
right_turning,8536,8480,8536,56
running,8562,8536,8562,26
walking,8592,8562,8592,30
sniffing,8661,8592,8661,69
rising,8662,8661,8662,1
climbing,8741,8662,8741,79
rising,8772,8741,8772,31
stepping,8792,8772,8792,20
walking,8842,8792,8842,50
sniffing,8843,8842,8843,1
trotting,8883,8843,8883,40
sniffing,8945,8883,8945,62
stepping,9005,8945,9005,60
sniffing,9071,9005,9071,66
rearing,9090,9071,9090,19
rising,9113,9090,9113,23
climbing,9162,9113,9162,49
sniffing,9265,9162,9265,103
rising,9312,9265,9312,47
walking,9317,9312,9317,5
sniffing,9404,9317,9404,87
rising,9452,9404,9452,48
sniffing,9476,9452,9476,24
climbing,9607,9476,9607,131
rising,9608,9607,9608,1
sniffing,9628,9608,9628,20
walking,9661,9628,9661,33
stepping,9704,9661,9704,43
trotting,9751,9704,9751,47
stepping,9781,9751,9781,30
sniffing,9851,9781,9851,70
stepping,9887,9851,9887,36
rising,9906,9887,9906,19
climbing,9976,9906,9976,70
trotting,9987,9976,9987,11
sniffing,10093,9987,10093,106
trotting,10117,10093,10117,24
sniffing,10175,10117,10175,58
left_turning,10203,10175,10203,28
trotting,10224,10203,10224,21
sniffing,10298,10224,10298,74
climbing,10366,10298,10366,68
rearing,10459,10366,10459,93
climbing,10487,10459,10487,28
hunching,10507,10487,10507,20
right_turning,10536,10507,10536,29
sniffing,10592,10536,10592,56
walking,10637,10592,10637,45
right_turning,10690,10637,10690,53
left_turning,10739,10690,10739,49
stepping,10779,10739,10779,40
walking,10818,10779,10818,39
left_turning,10834,10818,10834,16
sniffing,10872,10834,10872,38
climbing,10950,10872,10950,78
sniffing,10991,10950,10991,41
walking,10992,10991,10992,1
sniffing,10993,10992,10993,1
left_turning,11106,10993,11106,113
sniffing,11163,11106,11163,57
walking,11233,11163,11233,70
sniffing,11347,11233,11347,114
rising,11380,11347,11380,33
climbing,11456,11380,11456,76
rising,11485,11456,11485,29
right_turning,11510,11485,11510,25
rising,11518,11510,11518,8
sniffing,11553,11518,11553,35
left_turning,11609,11553,11609,56
walking,11709,11609,11709,100
rising,11715,11709,11715,6
walking,11725,11715,11725,10
climbing,11760,11725,11760,35
rising,11811,11760,11811,51
climbing,11829,11811,11829,18
walking,11864,11829,11864,35
sniffing,11868,11864,11868,4
left_turning,11882,11868,11882,14
walking,11920,11882,11920,38
climbing,12020,11920,12020,100
walking,12027,12020,12027,7
right_turning,12075,12027,12075,48
walking,12164,12075,12164,89
climbing,12323,12164,12323,159
left_turning,12324,12323,12324,1
walking,12366,12324,12366,42
sniffing,12403,12366,12403,37
walking,12443,12403,12443,40
sniffing,12502,12443,12502,59
left_turning,12542,12502,12542,40
sniffing,12580,12542,12580,38
left_turning,12609,12580,12609,29
walking,12696,12609,12696,87
climbing,12715,12696,12715,19
walking,12763,12715,12763,48
left_turning,12830,12763,12830,67
rising,12844,12830,12844,14
sniffing,12897,12844,12897,53
walking,12914,12897,12914,17
left_turning,12934,12914,12934,20
running,12955,12934,12955,21
walking,13036,12955,13036,81
trotting,13074,13036,13074,38
stepping,13113,13074,13113,39
trotting,13120,13113,13120,7
sniffing,13273,13120,13273,153
stepping,13306,13273,13306,33
climbing,13307,13306,13307,1
left_turning,13312,13307,13312,5
sniffing,13696,13312,13696,384
rising,13731,13696,13731,35
walking,13747,13731,13747,16
sniffing,13794,13747,13794,47
rising,13796,13794,13796,2
climbing,13857,13796,13857,61
rearing,13991,13857,13991,134
grooming,14012,13991,14012,21
hunching,14034,14012,14034,22
trotting,14105,14034,14105,71
left_turning,14106,14105,14106,1
sniffing,14148,14106,14148,42
walking,14177,14148,14177,29
rising,14206,14177,14206,29
sniffing,14274,14206,14274,68
walking,14275,14274,14275,1
sniffing,14320,14275,14320,45
hunching,14363,14320,14363,43
rearing,14417,14363,14417,54
grooming,14573,14417,14573,156
rising,14675,14573,14675,102
climbing,14744,14675,14744,69
running,14766,14744,14766,22
stepping,14806,14766,14806,40
climbing,14936,14806,14936,130
sniffing,14974,14936,14974,38
climbing,15029,14974,15029,55
rearing,15074,15029,15074,45
trotting,15105,15074,15105,31
right_turning,15114,15105,15114,9
running,15128,15114,15128,14
right_turning,15157,15128,15157,29
walking,15218,15157,15218,61
sniffing,15228,15218,15228,10
walking,15249,15228,15249,21
trotting,15301,15249,15301,52
rising,15307,15301,15307,6
sniffing,15344,15307,15344,37
walking,15384,15344,15384,40
sniffing,15471,15384,15471,87
rising,15479,15471,15479,8
rearing,15543,15479,15543,64
sniffing,15662,15543,15662,119
hunching,15710,15662,15710,48
climbing,15784,15710,15784,74
sniffing,15807,15784,15807,23
rising,15817,15807,15817,10
walking,15818,15817,15818,1
left_turning,15849,15818,15849,31
running,15880,15849,15880,31
walking,15924,15880,15924,44
sniffing,15955,15924,15955,31
left_turning,15956,15955,15956,1
walking,16014,15956,16014,58
sniffing,16035,16014,16035,21
left_turning,16040,16035,16040,5
climbing,16102,16040,16102,62
sniffing,16103,16102,16103,1
walking,16173,16103,16173,70
sniffing,16197,16173,16197,24
walking,16256,16197,16256,59
sniffing,16304,16256,16304,48
trotting,16342,16304,16342,38
sniffing,16384,16342,16384,42
rising,16444,16384,16444,60
left_turning,16470,16444,16470,26
sniffing,16481,16470,16481,11
rising,16506,16481,16506,25
sniffing,16661,16506,16661,155
rising,16694,16661,16694,33
climbing,16759,16694,16759,65
walking,16853,16759,16853,94
rising,16867,16853,16867,14
left_turning,16918,16867,16918,51
sniffing,16937,16918,16937,19
climbing,17026,16937,17026,89
running,17054,17026,17054,28
left_turning,17057,17054,17057,3
walking,17167,17057,17167,110
sniffing,17195,17167,17195,28
rising,17206,17195,17206,11
climbing,17350,17206,17350,144
rearing,17351,17350,17351,1
rising,17352,17351,17352,1
sniffing,17353,17352,17353,1
walking,17367,17353,17367,14
sniffing,17368,17367,17368,1
right_turning,17409,17368,17409,41
walking,17477,17409,17477,68
trotting,17483,17477,17483,6
left_turning,17531,17483,17531,48
running,17557,17531,17557,26
sniffing,17559,17557,17559,2
walking,17582,17559,17582,23
rising,17646,17582,17646,64
climbing,17683,17646,17683,37
rising,17729,17683,17729,46
sniffing,17813,17729,17813,84
trotting,17842,17813,17842,29
climbing,17895,17842,17895,53
walking,17915,17895,17915,20
trotting,17935,17915,17935,20
sniffing,17996,17935,17996,61
right_turning,18023,17996,18023,27
running,18064,18023,18064,41
walking,18121,18064,18121,57
sniffing,18156,18121,18156,35
rising,18176,18156,18176,20
right_turning,18192,18176,18192,16
walking,18257,18192,18257,65
sniffing,18258,18257,18258,1
rearing,18286,18258,18286,28
sniffing,18359,18286,18359,73
stepping,18395,18359,18395,36
sniffing,18468,18395,18468,73
left_turning,18482,18468,18482,14
walking,18543,18482,18543,61
sniffing,18555,18543,18555,12
rising,18570,18555,18570,15
climbing,18657,18570,18657,87
rising,18698,18657,18698,41
climbing,18747,18698,18747,49
right_turning,18763,18747,18763,16
walking,18786,18763,18786,23
climbing,18858,18786,18858,72
left_turning,18896,18858,18896,38
sniffing,18920,18896,18920,24
walking,18959,18920,18959,39
sniffing,18982,18959,18982,23
left_turning,18992,18982,18992,10
sniffing,18993,18992,18993,1
rising,19000,18993,19000,7
climbing,19020,19000,19020,20
rising,19076,19020,19076,56
climbing,19077,19076,19077,1
stepping,19108,19077,19108,31
climbing,19196,19108,19196,88
rising,19197,19196,19197,1
climbing,19280,19197,19280,83
hunching,19345,19280,19345,65
grooming,19503,19345,19503,158
rising,19504,19503,19504,1
walking,19550,19504,19550,46
left_turning,19551,19550,19551,1
walking,19587,19551,19587,36
sniffing,19650,19587,19650,63
walking,19676,19650,19676,26
climbing,19723,19676,19723,47
sniffing,19724,19723,19724,1
climbing,19808,19724,19808,84
rearing,19840,19808,19840,32
sniffing,19970,19840,19970,130
rising,20068,19970,20068,98
climbing,20172,20068,20172,104
rising,20219,20172,20219,47
climbing,20245,20219,20245,26
sniffing,20329,20245,20329,84
left_turning,20401,20329,20401,72
walking,20433,20401,20433,32
sniffing,20477,20433,20477,44
rising,20519,20477,20519,42
sniffing,20551,20519,20551,32
rising,20582,20551,20582,31
walking,20641,20582,20641,59
sniffing,20736,20641,20736,95
walking,20786,20736,20786,50
sniffing,20871,20786,20871,85
rising,20905,20871,20905,34
climbing,20906,20905,20906,1
left_turning,20907,20906,20907,1
sniffing,21038,20907,21038,131
walking,21071,21038,21071,33
sniffing,21140,21071,21140,69
trotting,21173,21140,21173,33
right_turning,21187,21173,21187,14
hunching,21303,21187,21303,116
climbing,21345,21303,21345,42
trotting,21368,21345,21368,23
sniffing,21369,21368,21369,1
rearing,21370,21369,21370,1
hunching,21400,21370,21400,30
sniffing,21498,21400,21498,98
walking,21543,21498,21543,45
sniffing,21627,21543,21627,84
left_turning,21652,21627,21652,25
sniffing,21784,21652,21784,132
trotting,21833,21784,21833,49
walking,21925,21833,21925,92
sniffing,21971,21925,21971,46
walking,22015,21971,22015,44
climbing,22072,22015,22072,57
stepping,22135,22072,22135,63
rising,22194,22135,22194,59
climbing,22231,22194,22231,37
right_turning,22244,22231,22244,13
climbing,22260,22244,22260,16
sniffing,22261,22260,22261,1
climbing,22293,22261,22293,32
sniffing,22294,22293,22294,1
rising,22362,22294,22362,68
climbing,22423,22362,22423,61
sniffing,22424,22423,22424,1
rearing,22425,22424,22425,1
climbing,22516,22425,22516,91
sniffing,22517,22516,22517,1
walking,22559,22517,22559,42
sniffing,22560,22559,22560,1
rising,22613,22560,22613,53
sniffing,22641,22613,22641,28
left_turning,22669,22641,22669,28
walking,22698,22669,22698,29
left_turning,22760,22698,22760,62
sniffing,22817,22760,22817,57
stepping,22830,22817,22830,13
sniffing,22904,22830,22904,74
walking,23003,22904,23003,99
sniffing,23212,23003,23212,209
climbing,23214,23212,23214,2
rearing,23266,23214,23266,52
rising,23314,23266,23314,48
climbing,23372,23314,23372,58
stepping,23423,23372,23423,51
left_turning,23458,23423,23458,35
sniffing,23511,23458,23511,53
left_turning,23575,23511,23575,64
sniffing,23623,23575,23623,48
rising,23670,23623,23670,47
sniffing,23671,23670,23671,1
walking,23712,23671,23712,41
sniffing,23713,23712,23713,1
right_turning,23750,23713,23750,37
walking,23760,23750,23760,10
sniffing,23796,23760,23796,36
walking,23831,23796,23831,35
sniffing,23857,23831,23857,26
rising,23859,23857,23859,2
sniffing,23900,23859,23900,41
climbing,23924,23900,23924,24
walking,24096,23924,24096,172
sniffing,24105,24096,24105,9
stepping,24151,24105,24151,46
sniffing,24152,24151,24152,1
left_turning,24191,24152,24191,39
sniffing,24192,24191,24192,1
hunching,24193,24192,24193,1
rising,24209,24193,24209,16
walking,24303,24209,24303,94
sniffing,24322,24303,24322,19
left_turning,24323,24322,24323,1
sniffing,24395,24323,24395,72
rising,24396,24395,24396,1
rearing,24457,24396,24457,61
hunching,24497,24457,24497,40
rising,24564,24497,24564,67
sniffing,24697,24564,24697,133
walking,24749,24697,24749,52
sniffing,24810,24749,24810,61
left_turning,24811,24810,24811,1
sniffing,24871,24811,24871,60
rising,24928,24871,24928,57
sniffing,25035,24928,25035,107
rising,25074,25035,25074,39
grooming,25125,25074,25125,51
rearing,25131,25125,25131,6
grooming,25282,25131,25282,151
rearing,25377,25282,25377,95
rising,25404,25377,25404,27
rearing,25433,25404,25433,29
grooming,25638,25433,25638,205
sniffing,25699,25638,25699,61
climbing,25753,25699,25753,54
rising,25789,25753,25789,36
climbing,25833,25789,25833,44
rising,25839,25833,25839,6
sniffing,25883,25839,25883,44
stepping,25909,25883,25909,26
left_turning,25975,25909,25975,66
walking,25983,25975,25983,8
rising,25984,25983,25984,1
walking,26023,25984,26023,39
sniffing,26024,26023,26024,1
running,26043,26024,26043,19
left_turning,26083,26043,26083,40
walking,26128,26083,26128,45
sniffing,26144,26128,26144,16
trotting,26195,26144,26195,51
sniffing,26260,26195,26260,65
left_turning,26279,26260,26279,19
rising,26305,26279,26305,26
climbing,26356,26305,26356,51
walking,26405,26356,26405,49
trotting,26440,26405,26440,35
stepping,26478,26440,26478,38
left_turning,26519,26478,26519,41
sniffing,26540,26519,26540,21
climbing,26630,26540,26630,90
rising,26693,26630,26693,63
left_turning,26735,26693,26735,42
walking,26736,26735,26736,1
trotting,26754,26736,26754,18
sniffing,26755,26754,26755,1
rising,26758,26755,26758,3
hunching,26791,26758,26791,33
climbing,26870,26791,26870,79
rearing,27128,26870,27128,258
grooming,27299,27128,27299,171
hunching,27300,27299,27300,1
climbing,27329,27300,27329,29
rearing,27451,27329,27451,122
sniffing,27473,27451,27473,22
pausing,27736,27473,27736,263
sniffing,27758,27736,27758,22
rising,27784,27758,27784,26
climbing,27807,27784,27807,23
walking,27862,27807,27862,55
trotting,27893,27862,27893,31
running,27928,27893,27928,35
sniffing,27929,27928,27929,1
left_turning,27968,27929,27968,39
sniffing,27999,27968,27999,31
rising,28000,27999,28000,1
sniffing,28001,28000,28001,1
left_turning,28062,28001,28062,61
trotting,28113,28062,28113,51
walking,28163,28113,28163,50
trotting,28180,28163,28180,17
rising,28235,28180,28235,55
sniffing,28328,28235,28328,93
climbing,28412,28328,28412,84
rearing,28475,28412,28475,63
climbing,28539,28475,28539,64
sniffing,28596,28539,28596,57
left_turning,28668,28596,28668,72
walking,28706,28668,28706,38
sniffing,28707,28706,28707,1
grooming,28784,28707,28784,77
sniffing,29028,28784,29028,244
walking,29029,29028,29029,1
sniffing,29034,29029,29034,5
left_turning,29100,29034,29100,66
sniffing,29101,29100,29101,1
walking,29138,29101,29138,37
sniffing,29214,29138,29214,76
running,29248,29214,29248,34
sniffing,29296,29248,29296,48
climbing,29450,29296,29450,154
sniffing,29485,29450,29485,35
walking,29596,29485,29596,111
stepping,29661,29596,29661,65
sniffing,29762,29661,29762,101
rising,29768,29762,29768,6
sniffing,29835,29768,29835,67
walking,29910,29835,29910,75
left_turning,29942,29910,29942,32
sniffing,29970,29942,29970,28
rearing,30001,29970,30001,31
sniffing,30074,30001,30074,73
walking,30119,30074,30119,45
left_turning,30165,30119,30165,46
walking,30201,30165,30201,36
sniffing,30202,30201,30202,1
climbing,30203,30202,30203,1
walking,30245,30203,30245,42
sniffing,30246,30245,30246,1
left_turning,30286,30246,30286,40
walking,30383,30286,30383,97
climbing,30411,30383,30411,28
rising,30429,30411,30429,18
climbing,30469,30429,30469,40
walking,30490,30469,30490,21
climbing,30583,30490,30583,93
walking,30584,30583,30584,1
sniffing,30652,30584,30652,68
hunching,30689,30652,30689,37
sniffing,30723,30689,30723,34
rising,30754,30723,30754,31
rearing,30772,30754,30772,18
right_turning,30783,30772,30783,11
walking,30784,30783,30784,1
rising,30833,30784,30833,49
hunching,30892,30833,30892,59
climbing,30963,30892,30963,71
trotting,31006,30963,31006,43
rising,31090,31006,31090,84
climbing,31169,31090,31169,79
rising,31175,31169,31175,6
hunching,31243,31175,31243,68
climbing,31272,31243,31272,29
sniffing,31273,31272,31273,1
rising,31274,31273,31274,1
trotting,31278,31274,31278,4
walking,31309,31278,31309,31
right_turning,31361,31309,31361,52
trotting,31394,31361,31394,33
stepping,31395,31394,31395,1
left_turning,31459,31395,31459,64
walking,31471,31459,31471,12
rising,31472,31471,31472,1
climbing,31550,31472,31550,78
rearing,31641,31550,31641,91
climbing,31667,31641,31667,26
hunching,31701,31667,31701,34
right_turning,31764,31701,31764,63
walking,31783,31764,31783,19
climbing,31803,31783,31803,20
trotting,31810,31803,31810,7
left_turning,31879,31810,31879,69
sniffing,31914,31879,31914,35
left_turning,31916,31914,31916,2
rearing,31939,31916,31939,23
sniffing,31964,31939,31964,25
climbing,32029,31964,32029,65
walking,32031,32029,32031,2
sniffing,32069,32031,32069,38
