revised_movement_label,speed_mean,speed_median,speed_std,speed_range,distance_mean,distance_median,distance_std,distance_range,Nose_back_tail_2Dangle_mean,Nose_back_tail_2Dangle_median,Nose_back_tail_2Dangle_std,Nose_back_tail_2Dangle_range,Nose_back_tail_3Dangle_mean,Nose_back_tail_3Dangle_median,Nose_back_tail_3Dangle_std,Nose_back_tail_3Dangle_range,nose_height_mean,nose_height_median,nose_height_std,nose_height_range,neck_height_mean,neck_height_median,neck_height_std,neck_height_range,back_height_mean,back_height_median,back_height_std,back_height_range,left_front_claw_height_mean,left_front_claw_height_median,left_front_claw_height_std,left_front_claw_height_range,right_front_claw_height_mean,right_front_claw_height_median,right_front_claw_height_std,right_front_claw_height_range,body_length2D_mean,body_length2D_median,body_length2D_std,body_length2D_range,body_length3D_mean,body_length3D_median,body_length3D_std,body_length3D_range,nose_momentum_mean,nose_momentum_median,nose_momentum_std,nose_momentum_range,head_momentum_mean,head_momentum_median,head_momentum_std,head_momentum_range,movement_duration_mean,movement_duration_median,movement_duration_std,movement_duration_range,movement_intervels_mean,movement_intervels_median,movement_intervels_std,movement_intervels_range,group_mean,group_median,group_std,group_range
running,309.5,314.16,108.67,"[115.79, 483.55]",10.32,10.47,3.62,"[3.86, 16.12]",-0.52,-0.24,9.95,"[-16.23, 13.69]",143.97,145.42,8.57,"[128.63, 154.58]",13.42,11.75,8.68,"[3.17, 28.76]",33.78,32.89,5.65,"[26.66, 43.96]",38.74,38.32,4.58,"[32.02, 46.67]",3.31,2.81,3.85,"[-1.63, 9.55]",3.9,3.44,3.69,"[-0.7, 9.88]",103.34,103.48,4.87,"[95.76, 110.56]",105.08,105.42,4.74,"[97.45, 111.72]",12.05,10.18,8.04,"[3.63, 27.3]",28.22,23.92,18.19,"[10.27, 62.17]",24.57,25.02,3.41,"[18.22, 29.3]",3834.16,2386.38,3257.6,"[949.83, 10423.78]",,,,
trotting,230.75,235.08,101.34,"[48.73, 395.11]",7.69,7.84,3.38,"[1.62, 13.17]",-0.22,0.24,11.34,"[-19.16, 16.53]",141.08,142.78,9.94,"[121.65, 153.73]",13.26,10.33,10.35,"[2.33, 33.91]",34.36,33.02,6.44,"[26.51, 46.47]",38.81,38.23,5.01,"[31.64, 47.93]",3.76,3.2,4.05,"[-1.44, 10.36]",4.44,3.88,3.97,"[-0.55, 11.09]",102.11,102.36,5.58,"[92.55, 110.56]",103.83,104.38,5.49,"[93.85, 111.46]",13.89,11.59,8.91,"[4.33, 31.97]",31.89,27.02,19.51,"[11.72, 70.73]",31.49,31.98,2.93,"[27.1, 35.93]",1093.44,911.8,483.3,"[551.17, 1974.9]",,,,
left_turning,96.04,80.28,70.92,"[14.21, 229.95]",3.2,2.68,2.36,"[0.47, 7.67]",-13.64,-12.24,14.78,"[-40.01, 8.21]",129.33,131.26,13.65,"[104.58, 148.49]",14.6,11.53,10.77,"[3.28, 36.68]",37.47,36.41,7.09,"[28.06, 50.51]",41.13,40.81,5.59,"[32.58, 50.69]",5.45,4.98,4.46,"[-0.49, 12.68]",5.9,5.31,4.42,"[0.22, 13.25]",96.69,97.98,7.88,"[81.86, 107.65]",97.97,99.4,8.01,"[82.79, 108.86]",16.72,14.8,9.19,"[5.64, 34.15]",37.84,33.86,19.78,"[14.42, 74.84]",34.92,35.16,2.91,"[30.25, 40.0]",626.02,637.27,139.57,"[445.04, 836.94]",,,,
right_turning,87.48,64.54,73.49,"[13.09, 235.4]",2.92,2.15,2.45,"[0.44, 7.85]",26.57,26.26,15.17,"[2.35, 51.79]",122.72,122.69,15.34,"[98.13, 147.41]",18.33,14.14,13.82,"[3.77, 46.57]",40.57,39.13,8.33,"[29.9, 56.18]",42.68,42.35,5.79,"[33.77, 52.73]",6.96,5.88,6.13,"[0.12, 16.95]",7.85,6.88,5.92,"[1.16, 17.4]",93.84,94.59,9.64,"[77.09, 108.66]",95.2,95.94,9.69,"[78.45, 109.86]",19.06,16.71,10.78,"[6.49, 39.9]",42.09,37.05,23.36,"[15.69, 86.74]",26.09,25.94,3.5,"[20.6, 31.72]",1081.81,1058.73,292.99,"[686.93, 1574.61]",,,,
walking,145.47,140.67,88.14,"[21.51, 300.08]",4.85,4.69,2.94,"[0.72, 10.0]",2.27,2.05,13.13,"[-18.4, 23.96]",137.64,139.31,10.92,"[116.52, 152.54]",17.16,11.35,15.97,"[2.75, 51.52]",37.1,34.64,9.51,"[27.12, 56.02]",39.97,39.09,6.04,"[31.74, 51.33]",6.03,4.67,7.41,"[-0.65, 16.48]",6.64,5.19,7.22,"[0.27, 17.36]",100.18,100.96,7.28,"[87.24, 110.25]",102.15,102.83,6.38,"[90.23, 111.35]",18.25,15.12,11.72,"[6.26, 41.32]",40.79,34.25,26.65,"[15.12, 91.24]",40.38,40.42,2.43,"[36.21, 43.97]",301.84,292.41,73.89,"[212.26, 445.93]",,,,
stepping,83.01,65.22,64.23,"[12.51, 208.73]",2.77,2.17,2.14,"[0.42, 6.96]",11.45,10.93,12.56,"[-8.15, 32.74]",131.72,132.96,12.41,"[109.39, 150.18]",17.29,12.33,14.0,"[3.76, 47.1]",38.1,36.41,7.86,"[28.63, 53.33]",40.85,40.32,5.46,"[32.78, 50.63]",6.1,5.36,5.17,"[0.11, 13.97]",6.99,6.23,5.05,"[1.29, 14.8]",97.65,98.53,7.95,"[83.08, 109.38]",99.0,99.94,7.87,"[84.44, 110.46]",17.59,15.43,9.78,"[6.2, 36.64]",37.89,33.36,20.89,"[14.7, 77.52]",37.94,38.1,3.18,"[32.82, 42.98]",1226.99,1146.02,321.15,"[807.83, 1859.14]",,,,
sniffing,34.91,23.02,34.59,"[7.12, 106.43]",1.16,0.77,1.15,"[0.24, 3.55]",-0.21,-0.75,23.02,"[-36.94, 38.22]",123.08,123.9,14.98,"[97.95, 145.24]",20.02,16.98,12.26,"[5.87, 44.45]",41.02,40.11,7.53,"[30.56, 54.6]",42.71,42.64,5.43,"[34.14, 51.62]",7.89,7.38,5.07,"[1.1, 16.11]",8.26,7.67,5.05,"[1.63, 16.52]",93.01,94.39,9.56,"[76.07, 105.56]",93.98,95.36,9.58,"[77.1, 106.66]",22.8,20.39,11.96,"[7.68, 45.67]",50.7,45.11,26.37,"[18.19, 101.65]",61.89,58.41,10.21,"[51.15, 82.3]",145.24,139.9,31.28,"[103.23, 195.48]",,,,
rising,37.36,25.2,36.06,"[7.4, 110.87]",1.25,0.84,1.2,"[0.25, 3.7]",2.02,2.0,13.94,"[-20.72, 24.69]",127.97,129.59,15.21,"[102.62, 150.1]",39.15,37.29,19.85,"[11.55, 73.73]",51.51,51.01,11.48,"[34.34, 70.57]",47.46,47.66,5.95,"[37.6, 56.39]",16.32,13.8,11.23,"[4.19, 38.37]",16.75,14.09,11.24,"[4.88, 38.87]",91.68,93.07,10.75,"[72.15, 106.5]",96.52,98.1,9.49,"[79.28, 108.96]",22.69,21.27,11.55,"[8.07, 42.28]",49.84,45.55,27.52,"[18.22, 94.33]",33.95,34.15,3.87,"[28.33, 40.8]",334.19,326.51,51.32,"[278.68, 416.76]",,,,
hunching,25.77,20.04,21.55,"[6.83, 63.55]",0.86,0.67,0.72,"[0.23, 2.12]",27.7,26.93,16.26,"[3.01, 54.66]",113.31,112.58,17.9,"[83.85, 143.35]",47.26,45.3,18.06,"[20.65, 80.09]",59.39,59.11,9.61,"[44.21, 76.11]",50.24,50.36,4.46,"[42.61, 57.32]",25.36,24.19,10.95,"[9.95, 45.47]",25.64,24.43,10.72,"[10.73, 45.75]",77.08,77.95,12.19,"[55.37, 95.71]",86.03,87.95,13.34,"[60.74, 104.56]",22.78,21.02,11.06,"[8.1, 43.31]",50.43,45.58,25.55,"[18.77, 98.49]",40.56,39.64,6.62,"[29.87, 51.61]",1846.79,1668.46,546.62,"[1232.86, 2755.36]",,,,
rearing,26.33,19.52,24.48,"[6.81, 68.01]",0.88,0.65,0.82,"[0.23, 2.27]",-5.82,-6.72,21.21,"[-37.91, 31.78]",124.03,123.31,19.85,"[94.34, 158.59]",58.68,57.55,20.59,"[27.37, 93.38]",64.71,64.14,10.46,"[48.43, 82.38]",51.39,51.49,4.19,"[44.43, 58.08]",32.88,30.93,13.67,"[13.78, 58.69]",33.33,31.43,13.72,"[13.9, 59.12]",75.42,75.93,11.54,"[55.26, 93.35]",90.62,92.9,11.81,"[68.61, 106.4]",26.7,24.59,12.44,"[10.42, 50.18]",58.67,53.14,28.95,"[22.25, 114.1]",45.93,44.88,5.49,"[38.82, 56.77]",918.21,798.41,347.07,"[532.33, 1604.77]",,,,
climbing,44.16,34.18,36.5,"[9.37, 110.26]",1.47,1.14,1.22,"[0.31, 3.68]",6.27,5.99,24.11,"[-32.07, 45.92]",151.87,156.85,19.07,"[115.07, 174.58]",98.33,98.25,30.85,"[44.62, 145.68]",88.19,85.03,21.02,"[57.45, 124.64]",60.52,57.58,10.46,"[47.84, 80.86]",66.95,66.69,27.56,"[21.61, 109.75]",67.3,66.92,27.5,"[21.84, 110.34]",60.01,60.27,17.3,"[32.53, 88.69]",102.5,102.76,8.69,"[88.17, 115.79]",33.04,30.55,18.26,"[9.37, 66.05]",83.01,75.36,48.23,"[25.42, 168.28]",58.99,58.96,6.23,"[48.3, 66.98]",357.46,311.3,136.94,"[219.01, 560.74]",,,,
jumping,64.78,42.13,67.78,"[10.8, 201.49]",2.16,1.4,2.26,"[0.36, 6.72]",-1.58,0.4,30.79,"[-50.86, 40.95]",147.04,151.77,21.96,"[111.02, 172.43]",90.37,87.55,58.59,"[34.12, 140.54]",81.53,75.62,42.0,"[47.15, 121.12]",57.52,52.85,24.18,"[42.46, 81.03]",55.59,53.54,40.89,"[8.13, 107.61]",56.07,54.14,41.79,"[8.6, 107.84]",65.72,66.3,24.45,"[28.17, 101.17]",103.55,101.39,36.0,"[86.78, 114.39]",40.37,31.74,66.25,"[8.89, 79.16]",103.38,78.7,174.86,"[24.44, 199.77]",82.64,70.38,33.78,"[53.67, 151.35]",5327.94,4234.67,3701.92,"[1609.98, 12206.65]",,,,
grooming,24.25,20.54,16.71,"[7.65, 52.03]",0.81,0.68,0.56,"[0.26, 1.73]",-0.97,-24.16,83.82,"[-128.88, 126.22]",84.15,83.57,26.26,"[44.06, 128.98]",36.35,32.43,18.71,"[12.4, 72.7]",53.66,52.89,11.52,"[36.62, 73.54]",46.24,46.3,5.36,"[37.62, 54.7]",24.33,23.78,10.75,"[8.13, 42.61]",24.72,23.77,10.6,"[9.3, 43.25]",53.61,54.44,18.39,"[22.53, 82.91]",63.04,62.66,20.08,"[32.28, 95.18]",47.56,47.28,9.44,"[32.72, 63.86]",121.92,122.09,18.63,"[91.35, 150.79]",129.05,121.37,42.12,"[70.29, 187.1]",1656.03,1400.45,723.52,"[1050.87, 2752.31]",,,,
scratching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pausing,15.83,13.2,11.17,"[5.21, 34.48]",0.53,0.44,0.37,"[0.17, 1.15]",-2.99,-4.84,24.96,"[-41.58, 39.71]",116.5,114.96,15.8,"[93.77, 145.85]",19.51,17.71,12.06,"[5.63, 37.93]",41.74,41.8,7.77,"[29.24, 52.43]",41.82,42.58,6.34,"[28.87, 50.67]",7.06,6.42,6.32,"[0.33, 14.18]",7.21,6.28,6.44,"[0.67, 14.73]",87.77,88.79,10.12,"[69.61, 102.22]",88.81,89.57,9.77,"[71.88, 103.25]",23.48,21.4,12.13,"[8.42, 44.25]",53.5,48.45,27.65,"[19.76, 102.74]",209.11,211.0,50.63,"[136.77, 293.32]",13640.63,9336.62,14279.75,"[2928.21, 47841.5]",,,,
